choice_rank,mixed_rank,partition_id,nll,delta_nll_vs_native_h16,merged_boundaries,routing_groups,segment_widths
347,346,0__1-2__3__4-5__6-7__8__9__10-11__12__13__14__15,5.195575008410978,0.8296564103105082,"[1, 4, 6, 10]",12,"[80, 160, 80, 160, 160, 80, 80, 160, 80, 80, 80, 80]"
348,347,0__1__2-3__4-5__6__7__8-9__10__11-12__13__14__15,5.195651997335961,0.8297333992354909,"[2, 4, 8, 11]",12,"[80, 80, 160, 160, 80, 80, 160, 80, 160, 80, 80, 80]"
349,348,0__1__2__3__4-5__6__7-8__9-10__11__12-13__14__15,5.196343593000783,0.8304249949003131,"[4, 7, 9, 12]",12,"[80, 80, 80, 80, 160, 80, 160, 160, 80, 160, 80, 80]"
350,349,0__1-2__3-4__5__6__7__8__9-10__11__12__13-14__15,5.1964341799418134,0.8305155818413432,"[1, 3, 9, 13]",12,"[80, 160, 160, 80, 80, 80, 80, 160, 80, 80, 160, 80]"
351,350,0__1__2-3__4__5__6__7-8__9__10-11__12__13-14__15,5.198039823030563,0.8321212249300931,"[2, 7, 10, 13]",12,"[80, 80, 160, 80, 80, 80, 160, 80, 160, 80, 160, 80]"
352,351,0__1__2__3-4__5__6__7-8__9-10__11-12__13__14__15,5.1982650141562186,0.8323464160557483,"[3, 7, 9, 11]",12,"[80, 80, 80, 160, 80, 80, 160, 160, 160, 80, 80, 80]"
353,352,0-1__2__3-4__5__6__7__8__9__10__11-12__13__14-15,5.198610863727558,0.8326922656270881,"[0, 3, 11, 14]",12,"[160, 80, 160, 80, 80, 80, 80, 80, 80, 160, 80, 160]"
354,353,0__1__2__3-4__5__6__7-8__9__10__11-12__13-14__15,5.198618704272855,0.8327001061723847,"[3, 7, 11, 13]",12,"[80, 80, 80, 160, 80, 80, 160, 80, 80, 160, 160, 80]"
355,354,0-1__2__3__4__5__6__7-8__9-10__11__12-13__14__15,5.198690200015131,0.8327716019146605,"[0, 7, 9, 12]",12,"[160, 80, 80, 80, 80, 80, 160, 160, 80, 160, 80, 80]"
356,355,0__1-2__3-4__5__6__7__8__9__10__11-12__13__14-15,5.199242631477811,0.8333240333773411,"[1, 3, 11, 14]",12,"[80, 160, 160, 80, 80, 80, 80, 80, 80, 160, 80, 160]"
357,356,0-1__2__3-4__5__6__7-8__9__10__11__12__13-14__15,5.1992796639659655,0.8333610658654953,"[0, 3, 7, 13]",12,"[160, 80, 160, 80, 80, 160, 80, 80, 80, 80, 160, 80]"
358,357,0-1__2__3__4__5__6__7-8__9__10-11__12__13__14-15,5.199448610680544,0.8335300125800735,"[0, 7, 10, 14]",12,"[160, 80, 80, 80, 80, 80, 160, 80, 160, 80, 80, 160]"
359,358,0__1__2__3__4-5__6__7-8__9-10__11__12__13__14-15,5.1994858715657735,0.8335672734653032,"[4, 7, 9, 14]",12,"[80, 80, 80, 80, 160, 80, 160, 160, 80, 80, 80, 160]"
360,359,0-1__2-3__4-5__6__7__8__9-10__11__12__13__14__15,5.200140891070473,0.8342222929700025,"[0, 2, 4, 9]",12,"[160, 160, 160, 80, 80, 80, 160, 80, 80, 80, 80, 80]"
361,360,0__1-2__3-4__5__6__7__8__9__10-11__12__13__14-15,5.200441057497922,0.8345224593974514,"[1, 3, 10, 14]",12,"[80, 160, 160, 80, 80, 80, 80, 80, 160, 80, 80, 160]"
362,361,0__1__2__3__4-5__6__7__8__9-10__11-12__13__14-15,5.200589140838892,0.8346705427384213,"[4, 9, 11, 14]",12,"[80, 80, 80, 80, 160, 80, 80, 80, 160, 160, 80, 160]"
363,362,0-1__2__3__4__5__6__7__8-9__10-11__12__13__14-15,5.200646334729236,0.834727736628766,"[0, 8, 10, 14]",12,"[160, 80, 80, 80, 80, 80, 80, 160, 160, 80, 80, 160]"
364,363,0-1__2-3__4-5__6__7__8__9__10__11__12__13__14-15,5.201985471059849,0.8360668729593792,"[0, 2, 4, 14]",12,"[160, 160, 160, 80, 80, 80, 80, 80, 80, 80, 80, 160]"
