k,partition_id,roles,predicted_rank,predicted_score,actual_nll,actual_delta_nll,merged_boundaries
2,0__1__2__3__4__5__6__7-8__9__10__11__12-13__14__15,['uniform_transfer'],64,0.040020552422,4.460696056324949,0.21371532395438386,"[7, 12]"
2,0__1__2__3__4__5__6__7__8-9__10__11__12__13-14__15,['uniform_transfer'],35,-0.013261621907,4.41536917364842,0.16838844127785535,"[8, 13]"
2,0__1__2__3__4__5__6__7__8__9-10__11__12-13__14__15,"['target_middle', 'uniform_transfer']",45,0.009148721379,4.43717791817405,0.190197185803485,"[9, 12]"
2,0__1__2__3__4__5__6__7__8__9-10__11__12__13-14__15,['uniform_transfer'],24,-0.036287694155,4.412682119818843,0.16570138744827823,"[9, 13]"
2,0__1__2__3__4__5__6__7__8__9-10__11__12__13__14-15,['uniform_transfer'],20,-0.059219566041,4.393119915955694,0.14613918358512912,"[9, 14]"
2,0__1__2__3__4__5__6__7__8__9__10-11__12-13__14__15,['uniform_transfer'],84,0.074319636151,4.463160874673465,0.21618014230289972,"[10, 12]"
2,0__1__2__3__4__5__6__7__8__9__10-11__12__13__14-15,['target_middle'],44,0.005951348731,4.412264506954369,0.16528377458380383,"[10, 14]"
6,0-1__2-3__4-5__6-7__8-9__10__11__12__13__14-15,['uniform_transfer'],26,-0.067767254431,6.0382253464132924,1.7912446140427276,"[0, 2, 4, 6, 8, 14]"
6,0-1__2-3__4-5__6-7__8__9-10__11__12__13__14-15,['target_top'],9,-0.090793326679,5.97034192761135,1.723361195240785,"[0, 2, 4, 6, 9, 14]"
6,0-1__2-3__4-5__6__7-8__9-10__11__12__13-14__15,['uniform_transfer'],169,0.063520856479,6.2323081052897615,1.9853273729191967,"[0, 2, 4, 7, 9, 13]"
6,0-1__2-3__4-5__6__7-8__9-10__11__12__13__14-15,['uniform_transfer'],157,0.040588984593,6.203770178853592,1.956789446483027,"[0, 2, 4, 7, 9, 14]"
6,0-1__2-3__4-5__6__7-8__9__10-11__12-13__14__15,['target_bottom'],210,0.174128186785,6.421390873712295,2.1744101413417303,"[0, 2, 4, 7, 10, 12]"
6,0-1__2-3__4-5__6__7-8__9__10-11__12__13-14__15,['uniform_transfer'],205,0.128691771252,6.391093967247569,2.144113234877004,"[0, 2, 4, 7, 10, 13]"
6,0-1__2-3__4-5__6__7__8-9__10-11__12-13__14__15,['target_bottom'],209,0.166282427991,6.3641036165075215,2.1171228841369567,"[0, 2, 4, 8, 10, 12]"
6,0-1__2-3__4__5-6__7-8__9-10__11__12-13__14__15,['target_middle'],107,-0.015589410944,5.975168028651561,1.7281872962809963,"[0, 2, 5, 7, 9, 12]"
6,0-1__2-3__4__5-6__7-8__9__10-11__12__13__14-15,['target_middle'],106,-0.018786783592,6.0534286983784575,1.8064479660078927,"[0, 2, 5, 7, 10, 14]"
6,0-1__2-3__4__5-6__7__8-9__10-11__12-13__14__15,['uniform_transfer'],159,0.041735745034,6.093682125982768,1.8467013936122028,"[0, 2, 5, 8, 10, 12]"
