split,boundary_index,offset,candidate_id,delta_nll,nll,first_difference_from_previous,second_difference_centered
discovery,6,40,boundary-06-offset-+040,0.06201073710869487,4.27128579586249,0.023968585192399416,
confirmation,6,-40,boundary-06-offset--040,0.07937299284650656,4.228723910080955,,
confirmation,6,-30,boundary-06-offset--030,0.04417972014679883,4.193530637381247,-0.035193272699707734,0.007318509289245156
confirmation,6,-20,boundary-06-offset--020,0.01630495673633625,4.165655873970785,-0.027874763410462577,0.01506679941365796
confirmation,6,-10,boundary-06-offset--010,0.0034969927395316347,4.15284790997398,-0.012807963996804617,0.009310971257272982
confirmation,6,0,native-h8,0.0,4.1493509172344485,-0.0034969927395316347,0.00677872030383142
confirmation,6,10,boundary-06-offset-+010,0.0032817275642997856,4.152632644798748,0.0032817275642997856,0.010134831668112021
confirmation,6,20,boundary-06-offset-+020,0.016698286796711592,4.16604920403116,0.013416559232411807,0.008562433405006509
confirmation,6,30,boundary-06-offset-+030,0.03867727943412991,4.188028196668578,0.021978992637418315,0.003061843174759993
confirmation,6,40,boundary-06-offset-+040,0.06371811524630822,4.213069032480757,0.025040835812178308,
discovery,7,-40,boundary-07-offset--040,0.0706456376427198,4.279920696396515,,
discovery,7,-30,boundary-07-offset--030,0.03544217610289291,4.244717234856688,-0.0352034615398269,0.013051921438028913
discovery,7,-20,boundary-07-offset--020,0.013290636001094924,4.22256569475489,-0.022151540101797984,0.011899556116158116
discovery,7,-10,boundary-07-offset--010,0.0030386520154550567,4.2123137107692505,-0.010251983985639868,0.007213331970184811
discovery,7,0,native-h8,0.0,4.2092750587537955,-0.0030386520154550567,0.00482450925243505
discovery,7,10,boundary-07-offset-+010,0.001785857236979993,4.2110609159907755,0.001785857236979993,0.002314833252310855
discovery,7,20,boundary-07-offset-+020,0.005886547726270841,4.215161606480066,0.004100690489290848,0.012447540827627002
discovery,7,30,boundary-07-offset-+030,0.02243477904318869,4.231709837796984,0.01654823131691785,0.015619637796023156
discovery,7,40,boundary-07-offset-+040,0.054602648156129696,4.263877706909925,0.032167869112941005,
confirmation,7,-40,boundary-07-offset--040,0.07257220891913363,4.221923126153582,,
confirmation,7,-30,boundary-07-offset--030,0.03611515321107017,4.185466070445519,-0.03645705570806346,0.013968997220722201
confirmation,7,-20,boundary-07-offset--020,0.013627094723728916,4.162978011958177,-0.022488058487341256,0.012016319692542687
confirmation,7,-10,boundary-07-offset--010,0.003155355928930348,4.152506273163379,-0.010471738794798569,0.007316382865868221
confirmation,7,0,native-h8,0.0,4.1493509172344485,-0.003155355928930348,0.004894570288187516
confirmation,7,10,boundary-07-offset-+010,0.0017392143592571685,4.151090131593706,0.0017392143592571685,0.002372317067107055
confirmation,7,20,boundary-07-offset-+020,0.005850745785621392,4.15520166302007,0.004111531426364223,0.013061687510499631
confirmation,7,30,boundary-07-offset-+030,0.023023964722485246,4.172374881956934,0.017173218936863854,0.016524058516307782
confirmation,7,40,boundary-07-offset-+040,0.05672124217565688,4.206072159410105,0.03369727745317164,
